messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
,IC 1,,DS,STAR,0.14,27.717,,
,IC 10,10.3,Gx,GALAXY,0.34,59.3,,
,IC 100,,U,UNIDENTIFIED,1.382,-4.65,,
,IC 1000,14.0,Gx,GALAXY,14.328,17.85,,
,IC 1001,,U,UNIDENTIFIED,14.345,5.133,,
,IC 1002,,U,UNIDENTIFIED,14.345,5.183,,
,IC 1003,,U,UNIDENTIFIED,14.348,5.45,,
,IC 1004,,U,UNIDENTIFIED,14.348,17.65,,
,IC 1005,,U,UNIDENTIFIED,14.305,71.6,,
,IC 1006,15.0,Gx,GALAXY,14.383,23.783,,
,IC 1007,15.0,Gx,GALAXY,14.41,4.533,,
,IC 1008,,U,UNIDENTIFIED,14.417,28.333,,
,IC 1009,15.0,Gx,GALAXY,14.438,12.35,,
,IC 101,15.0,Gx,GALAXY,1.402,9.933,,
,IC 1010,15.0,Gx,GALAXY,14.455,1.033,,
,IC 1011,15.0,Gx,GALAXY,14.468,1.0,,
,IC 1012,,U,UNIDENTIFIED,14.453,30.983,,
,IC 1013,,U,UNIDENTIFIED,14.463,25.833,,
,IC 1014,13.0,Gx,GALAXY,14.472,13.783,,
,IC 1015,15.0,Gx,GALAXY,14.472,15.417,,
,IC 1016,,U,UNIDENTIFIED,14.48,4.833,,
,IC 1017,15.0,Gx,GALAXY,14.468,25.867,,
,IC 1018,14.0,Gx,GALAXY,14.472,25.85,,
,IC 1019,15.0,Gx,GALAXY,14.468,25.933,,
,IC 102,16.0,Gx,GALAXY,1.407,9.9,,
,IC 1020,15.0,Gx,GALAXY,14.48,26.033,,
,IC 1021,15.0,Gx,GALAXY,14.487,20.667,,
,IC 1022,15.0,Gx,GALAXY,14.5,3.767,,
,IC 1023,,U,UNIDENTIFIED,14.54,-35.8,,
,IC 1024,14.0,Gx,GALAXY,14.523,3.0,,
,IC 1025,15.0,Gx,GALAXY,14.525,7.067,,
,IC 1026,,SS,STAR,14.52,31.217,,
,IC 1027,,U,UNIDENTIFIED,14.497,53.95,,
,IC 1028,,U,UNIDENTIFIED,14.542,41.85,,
,IC 1029,,Gx,GALAXY,14.542,49.9,,
,IC 103,15.0,Gx,GALAXY,1.41,2.033,,
,IC 1030,,U,UNIDENTIFIED,14.562,31.7,,
,IC 1031,,U,UNIDENTIFIED,14.577,48.033,,
,IC 1032,,U,UNIDENTIFIED,14.578,47.95,,
,IC 1033,,U,UNIDENTIFIED,14.58,47.933,,
,IC 1034,16.0,Gx,GALAXY,14.62,14.667,,
,IC 1035,15.0,Gx,GALAXY,14.635,9.333,,
,IC 1036,16.0,Gx,GALAXY,14.638,18.117,,
,IC 1037,15.0,Gx,GALAXY,14.64,18.167,,
,IC 1038,15.0,Gx,GALAXY,14.657,11.917,,
,IC 1039,16.0,Gx,GALAXY,14.675,3.417,,
,IC 104,,DS,STAR,1.41,-1.45,,
,IC 1040,15.0,Gx,GALAXY,14.672,9.467,,
,IC 1041,,U,UNIDENTIFIED,14.677,3.35,,
,IC 1042,,U,UNIDENTIFIED,14.677,3.433,,
,IC 1043,,U,UNIDENTIFIED,14.678,3.35,,
,IC 1044,15.0,Gx,GALAXY,14.692,9.433,,
,IC 1045,,U,UNIDENTIFIED,14.678,42.75,,
,IC 1046,15.0,Gx,GALAXY,14.63,69.0,,
,IC 1047,16.0,Gx,GALAXY,14.707,19.167,,
,IC 1048,14.0,Gx,GALAXY,14.715,4.883,,
,IC 1049,,U,UNIDENTIFIED,14.66,62.033,,
,IC 105,16.0,Gx,GALAXY,1.412,2.083,,
,IC 1050,15.0,Gx,GALAXY,14.735,18.017,,
,IC 1051,15.0,Gx,GALAXY,14.737,19.017,,
,IC 1052,15.0,Gx,GALAXY,14.737,20.617,,
,IC 1053,15.0,Gx,GALAXY,14.76,16.95,,
,IC 1054,15.0,Gx,GALAXY,14.775,1.267,,
,IC 1055,,Gx,GALAXY,14.79,-13.733,,
,IC 1056,14.0,Gx,GALAXY,14.763,50.417,,
,IC 1057,,U,UNIDENTIFIED,14.767,50.367,,
,IC 1058,15.0,Gx,GALAXY,14.818,17.033,,
,IC 1059,16.0,Gx,GALAXY,14.845,-0.867,,
,IC 106,,U,UNIDENTIFIED,1.412,-1.583,,
,IC 1060,14.0,Gx,GALAXY,14.865,-7.217,,
,IC 1061,,U,UNIDENTIFIED,14.853,18.75,,
,IC 1062,15.0,Gx,GALAXY,14.855,18.683,,
,IC 1063,,U,UNIDENTIFIED,14.87,4.683,,
,IC 1064,,U,UNIDENTIFIED,14.87,4.667,,
,IC 1065,13.4,Gx,GALAXY,14.822,63.267,,
,IC 1066,14.0,Gx,GALAXY,14.883,3.3,,
,IC 1067,,Gx,GALAXY,14.885,3.333,,
,IC 1068,15.0,Gx,GALAXY,14.892,3.067,,
,IC 1069,,U,UNIDENTIFIED,14.85,54.383,,
,IC 107,15.0,Gx,GALAXY,1.42,14.883,,
,IC 1070,15.0,Gx,GALAXY,14.898,3.483,,
,IC 1071,14.0,Gx,GALAXY,14.903,4.75,,
,IC 1072,15.0,Gx,GALAXY,14.903,4.85,,
,IC 1073,15.0,Gx,GALAXY,14.903,4.8,,
,IC 1074,15.0,Gx,GALAXY,14.867,51.283,,
,IC 1075,15.0,Gx,GALAXY,14.913,18.1,,
,IC 1076,,Gx,GALAXY,14.917,18.033,,
,IC 1077,,Gx,GALAXY,14.957,-19.217,,
,IC 1078,,U,UNIDENTIFIED,14.942,9.35,,
,IC 1079,,U,UNIDENTIFIED,14.943,9.367,,
,IC 108,15.0,Gx,GALAXY,1.412,-12.633,,
,IC 1080,14.0,Gx,GALAXY,14.968,-6.7,,
,IC 1081,,Gx,GALAXY,14.982,-19.233,,
,IC 1082,15.0,Gx,GALAXY,14.982,7.0,,
,IC 1083,16.0,Gx,GALAXY,14.927,68.4,,
,IC 1084,14.0,Gx,GALAXY,15.022,-7.45,,
,IC 1085,15.0,Gx,GALAXY,15.045,17.233,,
,IC 1086,,U,UNIDENTIFIED,15.057,17.083,,
,IC 1087,,U,UNIDENTIFIED,15.112,3.767,,
,IC 1088,,U,UNIDENTIFIED,15.112,3.767,,
,IC 1089,15.0,Gx,GALAXY,15.123,7.133,,
,IC 109,15.0,Gx,GALAXY,1.42,2.067,,
,IC 1090,,Gx,GALAXY,15.062,42.683,,
,IC 1091,,Gx,GALAXY,15.137,-11.15,,
,IC 1092,15.0,Gx,GALAXY,15.125,9.383,,
,IC 1093,15.0,Gx,GALAXY,15.128,14.55,,
,IC 1094,15.0,Gx,GALAXY,15.128,14.633,,
,IC 1095,,U,UNIDENTIFIED,15.142,14.017,,
,IC 1096,15.0,Gx,GALAXY,15.142,19.183,,
,IC 1097,15.0,Gx,GALAXY,15.142,19.183,,
,IC 1098,,SS,STAR,15.107,55.6,,
,IC 1099,,Gx,GALAXY,15.115,56.517,,
,IC 11,,U,UNIDENTIFIED,0.342,56.6,,
,IC 110,,U,UNIDENTIFIED,1.432,33.5,,
,IC 1100,14.0,Gx,GALAXY,15.105,63.0,,
,IC 1101,,U,UNIDENTIFIED,15.182,5.767,,
,IC 1102,15.0,Gx,GALAXY,15.185,4.3,,
,IC 1103,,U,UNIDENTIFIED,15.193,19.2,,
,IC 1104,,SS,STAR,15.213,-5.083,,
,IC 1105,,U,UNIDENTIFIED,15.222,4.267,,
,IC 1106,15.0,Gx,GALAXY,15.233,4.717,,
,IC 1107,15.0,Gx,GALAXY,15.237,4.717,,
,IC 1108,,U,UNIDENTIFIED,15.28,-45.65,,
,IC 1109,15.0,Gx,GALAXY,15.285,5.25,,
,IC 111,,U,UNIDENTIFIED,1.433,33.483,,
,IC 1110,15.0,Gx,GALAXY,15.202,67.367,,
,IC 1111,,U,UNIDENTIFIED,15.24,54.533,,
,IC 1112,15.0,Gx,GALAXY,15.298,7.217,,
,IC 1113,15.0,Gx,GALAXY,15.305,12.483,,
,IC 1114,,U,UNIDENTIFIED,15.188,75.45,,
,IC 1115,,SS,STAR,15.373,-4.467,,
,IC 1116,15.0,Gx,GALAXY,15.365,8.433,,
,IC 1117,,U,UNIDENTIFIED,15.407,15.45,,
,IC 1118,15.0,Gx,GALAXY,15.418,13.433,,
,IC 1119,15.0,Gx,GALAXY,15.428,-3.65,,
,IC 112,14.0,Gx,GALAXY,1.433,11.45,,
,IC 1120,,U,UNIDENTIFIED,15.437,18.867,,
,IC 1121,16.0,Gx,GALAXY,15.463,6.817,,
,IC 1122,15.0,Gx,GALAXY,15.492,7.583,,
,IC 1123,,U,UNIDENTIFIED,15.482,42.883,,
,IC 1124,,U,UNIDENTIFIED,15.5,23.633,,
,IC 1125,14.0,Gx,GALAXY,15.552,-1.633,,
,IC 1126,,U,UNIDENTIFIED,15.583,5.0,,
,IC 1127,,U,UNIDENTIFIED,15.598,23.483,,
,IC 1128,,U,UNIDENTIFIED,15.632,-1.55,,
,IC 1129,14.0,Gx,GALAXY,15.533,68.25,,
,IC 113,,U,UNIDENTIFIED,1.44,19.2,,
,IC 1130,15.0,Gx,GALAXY,15.63,17.25,,
,IC 1131,,Gx,GALAXY,15.648,12.083,,
,IC 1132,14.0,Gx,GALAXY,15.667,20.667,,
,IC 1133,15.0,Gx,GALAXY,15.687,15.567,,
,IC 1134,15.0,Gx,GALAXY,15.748,16.967,,
,IC 1135,15.0,Gx,GALAXY,15.76,17.7,,
,IC 1136,15.0,Gx,GALAXY,15.793,-1.55,,
,IC 1137,,U,UNIDENTIFIED,15.815,8.583,,
,IC 1138,15.0,Gx,GALAXY,15.803,26.2,,
,IC 1139,16.0,Gx,GALAXY,15.493,82.6,,
,IC 114,16.0,Gx,GALAXY,1.438,9.933,,
,IC 1140,,U,UNIDENTIFIED,15.818,19.067,,
,IC 1141,,U,UNIDENTIFIED,15.827,12.4,,
,IC 1142,,U,UNIDENTIFIED,15.823,18.15,,
,IC 1143,,Gx,GALAXY,15.512,82.467,,
,IC 1144,15.0,Gx,GALAXY,15.855,43.417,,
,IC 1145,,U,UNIDENTIFIED,15.77,72.45,,
,IC 1146,14.0,Gx,GALAXY,15.808,69.383,,
,IC 1147,15.0,Gx,GALAXY,15.835,69.55,,
,IC 1148,,U,UNIDENTIFIED,15.948,22.417,,
,IC 1149,,U,UNIDENTIFIED,15.967,12.083,,
,IC 115,14.2,Gx,GALAXY,1.448,19.217,,
,IC 1150,,U,UNIDENTIFIED,15.972,15.867,,
,IC 1151,13.0,Gx,GALAXY,15.975,17.45,,
,IC 1152,14.0,Gx,GALAXY,15.945,48.083,,
,IC 1153,,U,UNIDENTIFIED,15.947,48.167,,
,IC 1154,15.0,Gx,GALAXY,15.875,70.383,,
,IC 1155,,Gx,GALAXY,16.01,15.7,,
,IC 1156,15.0,Gx,GALAXY,16.01,19.733,,
,IC 1157,16.0,Gx,GALAXY,16.017,15.517,,
,IC 1158,13.0,Gx,GALAXY,16.025,1.717,,
,IC 1159,,U,UNIDENTIFIED,16.017,15.417,,
,IC 116,,U,UNIDENTIFIED,1.447,-4.983,,
,IC 1160,,U,UNIDENTIFIED,16.018,15.483,,
,IC 1161,15.0,Gx,GALAXY,16.022,15.65,,
,IC 1162,15.0,Gx,GALAXY,16.022,17.683,,
,IC 1163,15.0,Gx,GALAXY,16.025,15.5,,
,IC 1164,,U,UNIDENTIFIED,15.918,70.583,,
,IC 1165,,U,UNIDENTIFIED,16.035,15.7,,
,IC 1166,15.0,Gx,GALAXY,16.035,26.333,,
,IC 1167,,Gx,GALAXY,16.065,14.95,,
,IC 1168,16.0,Gx,GALAXY,16.067,14.9,,
,IC 1169,14.0,Gx,GALAXY,16.07,13.75,,
,IC 117,,SS,STAR,1.457,-1.867,,
,IC 1170,,Gx,GALAXY,16.075,17.717,,
,IC 1171,,SS,STAR,16.082,17.983,,
,IC 1172,15.0,Gx,GALAXY,16.082,17.867,,
,IC 1173,,Gx,GALAXY,16.087,17.417,,
,IC 1174,14.0,Gx,GALAXY,16.09,15.033,,
,IC 1175,,?,UNIDENTIFIED,16.088,18.133,,
,IC 1176,15.0,Gx,GALAXY,16.09,17.967,,
,IC 1177,,Gx,GALAXY,16.088,18.317,,
,IC 1178,,Gx,GALAXY,16.092,17.6,,
,IC 1179,16.0,Gx,GALAXY,16.09,17.75,,
,IC 118,,U,UNIDENTIFIED,1.46,-5.0,,
,IC 1180,,?,UNIDENTIFIED,16.09,18.117,,
,IC 1181,,Gx,GALAXY,16.093,17.583,,
,IC 1182,16.0,Gx,GALAXY,16.093,17.8,,
,IC 1183,14.3,Gx,GALAXY,16.093,17.767,,
,IC 1184,16.0,Gx,GALAXY,16.095,17.783,,
,IC 1185,13.9,Gx,GALAXY,16.095,17.717,,
,IC 1186,,Gx,GALAXY,16.095,17.367,,
,IC 1187,16.0,Gx,GALAXY,15.988,70.567,,
,IC 1188,,Gx,GALAXY,16.102,17.45,,
,IC 1189,,Gx,GALAXY,16.103,18.183,,
,IC 119,,Gx,GALAXY,1.465,-2.05,,
,IC 1190,,?,UNIDENTIFIED,16.105,18.233,,
,IC 1191,,Gx,GALAXY,16.108,18.267,,
,IC 1192,,Gx,GALAXY,16.11,17.767,,
,IC 1193,,Gx,GALAXY,16.108,17.717,,
,IC 1194,14.3,Gx,GALAXY,16.112,17.767,,
,IC 1195,,Gx,GALAXY,16.112,17.2,,
,IC 1196,15.0,Gx,GALAXY,16.133,10.783,,
,IC 1197,15.0,Gx,GALAXY,16.138,7.533,,
,IC 1198,15.0,Gx,GALAXY,16.143,12.333,,
,IC 1199,15.0,Gx,GALAXY,16.177,10.033,,
,IC 12,16.0,Gx,GALAXY,0.338,-2.65,,
,IC 120,,Gx,GALAXY,1.47,-1.917,,
,IC 1200,14.0,Gx,GALAXY,16.075,69.7,,
,IC 1201,16.0,Gx,GALAXY,16.097,69.617,,
,IC 1202,14.0,Gx,GALAXY,16.217,9.867,,
,IC 1203,,U,UNIDENTIFIED,16.255,-22.333,,
,IC 1204,,U,UNIDENTIFIED,16.118,69.933,,
,IC 1205,15.0,Gx,GALAXY,16.238,9.517,,
,IC 1206,15.0,Gx,GALAXY,16.255,11.3,,
,IC 1207,,U,UNIDENTIFIED,16.323,-29.65,,
,IC 1208,15.0,Gx,GALAXY,16.262,36.533,,
,IC 1209,,Nb,REFLECTION NEBULA,16.312,15.567,,
,IC 121,14.0,Gx,GALAXY,1.473,2.517,,
,IC 1210,14.0,Gx,GALAXY,16.242,62.55,,
,IC 1211,14.0,Gx,GALAXY,16.28,53.017,,
,IC 1212,15.0,Gx,GALAXY,16.258,64.233,,
,IC 1213,,U,UNIDENTIFIED,16.367,-1.517,,
,IC 1214,15.0,Gx,GALAXY,16.27,65.967,,
,IC 1215,14.0,Gx,GALAXY,16.26,68.417,,
,IC 1216,15.0,Gx,GALAXY,16.267,68.367,,
,IC 1217,,U,UNIDENTIFIED,16.268,69.683,,
,IC 1218,15.0,Gx,GALAXY,16.28,68.217,,
,IC 1219,15.0,Gx,GALAXY,16.407,19.467,,
,IC 122,,U,UNIDENTIFIED,1.47,-14.833,,
,IC 1220,,U,UNIDENTIFIED,16.487,8.45,,
,IC 1221,15.0,Gx,GALAXY,16.578,46.4,,
,IC 1222,,Gx,GALAXY,16.585,46.217,,
,IC 1223,,U,UNIDENTIFIED,16.59,49.267,,
,IC 1224,15.0,Gx,GALAXY,16.715,19.25,,
,IC 1225,15.0,Gx,GALAXY,16.615,67.633,,
,IC 1226,15.0,Gx,GALAXY,16.685,46.0,,
,IC 1227,,?,UNIDENTIFIED,16.668,58.617,,
,IC 1228,14.0,Gx,GALAXY,16.7,65.567,,
,IC 1229,15.0,Gx,GALAXY,16.75,51.283,,
,IC 123,15.0,Gx,GALAXY,1.48,2.45,,
,IC 1230,,U,UNIDENTIFIED,16.755,51.217,,
,IC 1231,14.0,Gx,GALAXY,16.782,58.45,,
,IC 1232,,U,UNIDENTIFIED,16.818,46.083,,
,IC 1233,,U,UNIDENTIFIED,16.807,63.15,,
,IC 1234,,U,UNIDENTIFIED,16.882,56.9,,
,IC 1235,15.0,Gx,GALAXY,16.868,63.117,,
,IC 1236,,Gx,GALAXY,16.975,20.033,,
,IC 1237,,Gx,GALAXY,16.938,55.033,,
,IC 1238,,U,UNIDENTIFIED,17.01,23.083,,
,IC 1239,14.0,Gx,GALAXY,17.013,23.017,,
,IC 124,,SS,STAR,1.487,-1.933,,
,IC 1240,,U,UNIDENTIFIED,17.017,61.05,,
,IC 1241,14.0,Gx,GALAXY,17.023,63.7,,
,IC 1242,15.0,Gx,GALAXY,17.145,4.033,,
,IC 1243,,?,UNIDENTIFIED,17.177,10.783,,
,IC 1244,15.0,Gx,GALAXY,17.177,36.283,,
,IC 1245,15.0,Gx,GALAXY,17.21,38.033,,
,IC 1246,,U,UNIDENTIFIED,17.238,20.233,,
,IC 1247,,SS,STAR,17.273,-12.783,,
,IC 1248,,Gx,GALAXY,17.197,60.0,,
,IC 1249,15.0,Gx,GALAXY,17.248,35.517,,
,IC 125,15.0,Gx,GALAXY,1.488,-13.3,,
,IC 1250,,U,UNIDENTIFIED,17.24,57.417,,
,IC 1251,14.0,Gx,GALAXY,17.168,72.4,,
,IC 1252,,U,UNIDENTIFIED,17.263,57.383,,
,IC 1253,,U,UNIDENTIFIED,17.33,18.667,,
,IC 1254,13.9,Gx,GALAXY,17.192,72.4,,
,IC 1255,14.0,Gx,GALAXY,17.385,12.683,,
,IC 1256,14.0,Gx,GALAXY,17.397,26.467,,
,IC 1257,,U,UNIDENTIFIED,17.452,-7.1,,
,IC 1258,,Gx,GALAXY,17.455,58.517,,
,IC 1259,,Gx,GALAXY,17.457,58.55,,
,IC 126,16.0,Gx,GALAXY,1.497,-1.983,,
,IC 1260,,U,UNIDENTIFIED,17.457,58.483,,
,IC 1261,,U,UNIDENTIFIED,17.392,71.283,,
,IC 1262,15.0,Gx,GALAXY,17.55,43.75,,
,IC 1263,15.0,Gx,GALAXY,17.552,43.817,,
,IC 1264,16.0,Gx,GALAXY,17.555,43.633,,
,IC 1265,14.0,Gx,GALAXY,17.612,42.083,,
,IC 1266,,U,UNIDENTIFIED,17.76,-46.1,,
,IC 1267,,Gx,GALAXY,17.645,59.383,,
,IC 1268,,U,UNIDENTIFIED,17.845,17.217,,
,IC 1269,,Gx,GALAXY,17.868,21.567,,
,IC 127,,Gx,GALAXY,1.497,-6.983,,
,IC 1270,,SS,STAR,17.797,62.217,,
,IC 1271,,U,UNIDENTIFIED,18.092,-24.45,,
,IC 1272,,OC,OPEN STAR CLUSTER,18.082,25.083,,
,IC 1273,,OC,OPEN STAR CLUSTER,18.083,25.117,,
,IC 1274,,Nb,REFLECTION NEBULA,18.158,-23.733,,
,IC 1275,,Nb,REFLECTION NEBULA,18.167,-23.833,,
,IC 1276,,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.178,-7.2,,
,IC 1277,,OC,OPEN STAR CLUSTER,18.17,31.0,,
,IC 1278,,U,UNIDENTIFIED,18.175,31.15,,
,IC 1279,,U,UNIDENTIFIED,18.185,36.033,,
,IC 128,14.0,Gx,GALAXY,1.522,-12.633,,
,IC 1280,15.0,Gx,GALAXY,18.203,25.667,,
,IC 1281,,?,UNIDENTIFIED,18.193,36.017,,
,IC 1282,,?,UNIDENTIFIED,18.235,21.1,,
,IC 1283,,Nb,REFLECTION NEBULA,18.288,-19.733,,
,IC 1284,,Nb,REFLECTION NEBULA,18.295,-19.667,,
,IC 1285,,OC,OPEN STAR CLUSTER,18.268,25.1,,
,IC 1286,15.0,Gx,GALAXY,18.27,55.567,,
,IC 1287,,Nb,REFLECTION NEBULA,18.522,-10.833,,
,IC 1288,14.0,Gx,GALAXY,18.49,39.717,,
,IC 1289,,U,UNIDENTIFIED,18.497,40.0,,
,IC 129,14.0,Gx,GALAXY,1.527,-12.683,,
,IC 1290,,U,UNIDENTIFIED,18.642,-24.117,,
,IC 1291,14.0,Gx,GALAXY,18.565,49.267,,
,IC 1292,,U,UNIDENTIFIED,18.747,-27.817,,
,IC 1293,,U,UNIDENTIFIED,18.695,56.317,,
,IC 1294,,U,UNIDENTIFIED,18.832,40.25,,
,IC 1295,15.0,Pl,PLANETARY NEBULA,18.91,-8.833,,
,IC 1296,15.0,Gx,GALAXY,18.888,33.067,,
,IC 1297,,Pl,PLANETARY NEBULA,19.29,-39.617,,
,IC 1298,,OC,OPEN STAR CLUSTER,19.308,-1.617,,
,IC 1299,,OC,OPEN STAR CLUSTER,19.377,20.75,,
,IC 13,15.0,Gx,GALAXY,0.34,7.7,,
,IC 130,,U,UNIDENTIFIED,1.525,-15.583,,
,IC 1300,,?,UNIDENTIFIED,19.402,52.65,,
,IC 1301,,Gx,GALAXY,19.443,49.75,,
,IC 1302,13.3,Gx,GALAXY,19.515,35.783,,
,IC 1303,14.2,Gx,GALAXY,19.525,35.883,,
,IC 1304,,U,UNIDENTIFIED,19.592,41.033,,
,IC 1305,,U,UNIDENTIFIED,19.655,20.217,,
,IC 1306,,?,UNIDENTIFIED,19.695,37.65,,
,IC 1307,,?,UNIDENTIFIED,19.713,27.5,,
,IC 1308,,U,UNIDENTIFIED,19.752,-14.717,,
,IC 1309,,Gx,GALAXY,20.052,-17.233,,
,IC 131,,Nb,REFLECTION NEBULA,1.553,30.75,,
,IC 1310,,U,UNIDENTIFIED,20.167,34.967,,
,IC 1311,13.0,C+N,OPEN STAR CLUSTER,20.172,41.217,,
,IC 1312,,U,UNIDENTIFIED,20.28,18.017,,
,IC 1313,,Gx,GALAXY,20.312,-16.95,,
,IC 1314,,U,UNIDENTIFIED,20.295,25.183,,
,IC 1315,,U,UNIDENTIFIED,20.29,30.683,,
,IC 1316,,U,UNIDENTIFIED,20.373,6.533,,
,IC 1317,13.4,Gx,GALAXY,20.388,0.667,,
,IC 1318,,U,UNIDENTIFIED,20.37,40.25,,
,IC 1319,14.0,Gx,GALAXY,20.433,-18.517,,
,IC 132,,Nb,REFLECTION NEBULA,1.555,30.95,,
,IC 1320,14.0,Gx,GALAXY,20.44,2.917,,
,IC 1321,15.0,Gx,GALAXY,20.47,-18.3,,
,IC 1322,,U,UNIDENTIFIED,20.502,-15.217,,
,IC 1323,,DS,STAR,20.508,-15.183,,
,IC 1324,,U,UNIDENTIFIED,20.537,-9.067,,
,IC 1325,,U,UNIDENTIFIED,20.547,9.883,,
,IC 1326,,U,UNIDENTIFIED,20.55,9.9,,
,IC 1327,15.0,Gx,GALAXY,20.595,0.017,,
,IC 1328,15.0,Gx,GALAXY,20.7,-19.633,,
,IC 1329,,U,UNIDENTIFIED,20.728,15.583,,
,IC 133,,Nb,REFLECTION NEBULA,1.555,30.883,,
,IC 1330,15.0,Gx,GALAXY,20.772,-14.033,,
,IC 1331,14.0,Gx,GALAXY,20.798,-9.983,,
,IC 1332,15.0,Gx,GALAXY,20.865,-13.717,,
,IC 1333,,U,UNIDENTIFIED,20.872,-16.25,,
,IC 1334,15.0,Gx,GALAXY,20.87,-16.283,,
,IC 1335,,U,UNIDENTIFIED,20.885,-16.333,,
,IC 1336,15.0,Gx,GALAXY,20.918,-18.067,,
,IC 1337,,U,UNIDENTIFIED,20.948,-16.583,,
,IC 1338,,U,UNIDENTIFIED,20.95,-16.5,,
,IC 1339,,Gx,GALAXY,20.965,-17.95,,
,IC 134,,SS,STAR,1.557,30.883,,
,IC 1340,,Nb,REFLECTION NEBULA,20.937,31.067,,
,IC 1341,15.0,Gx,GALAXY,21.007,-13.967,,
,IC 1342,,U,UNIDENTIFIED,21.007,-14.5,,
,IC 1343,,U,UNIDENTIFIED,21.02,-15.4,,
,IC 1344,15.0,Gx,GALAXY,21.022,-13.367,,
,IC 1345,,U,UNIDENTIFIED,21.023,-13.4,,
,IC 1346,,U,UNIDENTIFIED,21.028,-13.867,,
,IC 1347,,Gx,GALAXY,21.028,-13.317,,
,IC 1348,,U,UNIDENTIFIED,21.028,-13.35,,
,IC 1349,,U,UNIDENTIFIED,21.03,-13.267,,
,IC 135,,Nb,REFLECTION NEBULA,1.553,30.467,,
,IC 1350,15.0,Gx,GALAXY,21.033,-13.85,,
,IC 1351,,U,UNIDENTIFIED,21.032,-13.2,,
,IC 1352,,U,UNIDENTIFIED,21.032,-13.383,,
,IC 1353,,U,UNIDENTIFIED,21.032,-13.267,,
,IC 1354,,U,UNIDENTIFIED,21.033,-13.75,,
,IC 1355,,U,UNIDENTIFIED,21.033,-13.167,,
,IC 1356,,U,UNIDENTIFIED,21.048,-15.8,,
,IC 1357,,U,UNIDENTIFIED,21.098,-10.717,,
,IC 1358,,U,UNIDENTIFIED,21.108,-16.2,,
,IC 1359,15.0,Gx,GALAXY,21.145,12.45,,
,IC 136,,Nb,REFLECTION NEBULA,1.553,30.5,,
,IC 1360,,Gx,GALAXY,21.18,5.067,,
,IC 1361,15.0,Gx,GALAXY,21.192,5.05,,
,IC 1362,16.0,Gx,GALAXY,21.197,2.333,,
,IC 1363,,?,UNIDENTIFIED,21.177,46.85,,
,IC 1364,15.0,Gx,GALAXY,21.222,2.783,,
,IC 1365,15.0,Gx,GALAXY,21.232,2.583,,
,IC 1366,16.0,Gx,GALAXY,21.235,1.75,,
,IC 1367,15.0,Gx,GALAXY,21.237,2.983,,
,IC 1368,,U,UNIDENTIFIED,21.238,2.167,,
,IC 1369,6.8,OC,OPEN STAR CLUSTER,21.202,47.733,,
,IC 137,,Nb,REFLECTION NEBULA,1.56,30.517,,
,IC 1370,15.0,Gx,GALAXY,21.253,2.2,,
,IC 1371,15.0,Gx,GALAXY,21.338,-4.883,,
,IC 1372,,U,UNIDENTIFIED,21.338,-5.617,,
,IC 1373,15.0,Gx,GALAXY,21.343,1.083,,
,IC 1374,16.0,Gx,GALAXY,21.35,1.717,,
,IC 1375,15.0,Gx,GALAXY,21.35,4.0,,
,IC 1376,,U,UNIDENTIFIED,21.412,-5.75,,
,IC 1377,14.0,Gx,GALAXY,21.423,4.317,,
,IC 1378,,U,UNIDENTIFIED,21.383,55.45,,
,IC 1379,16.0,Gx,GALAXY,21.433,3.1,,
,IC 138,15.0,Gx,GALAXY,1.55,-0.7,,
,IC 1380,15.0,Gx,GALAXY,21.452,2.717,,
,IC 1381,15.0,Gx,GALAXY,21.46,-1.183,,
,IC 1382,,U,UNIDENTIFIED,21.448,18.65,,
,IC 1383,16.0,Gx,GALAXY,21.462,-1.083,,
,IC 1384,14.0,Gx,GALAXY,21.463,-1.367,,
,IC 1385,15.0,Gx,GALAXY,21.482,-1.067,,
,IC 1386,,Gx,GALAXY,21.493,-21.2,,
,IC 1387,15.0,Gx,GALAXY,21.493,-1.35,,
,IC 1388,15.0,Gx,GALAXY,21.498,-0.633,,
,IC 1389,,U,UNIDENTIFIED,21.535,-18.017,,
,IC 139,,SS,STAR,1.562,30.467,,
,IC 1390,15.0,Gx,GALAXY,21.542,-1.867,,
,IC 1391,16.0,Gx,GALAXY,21.585,-0.5,,
,IC 1392,13.0,Gx,GALAXY,21.593,35.4,,
,IC 1393,,U,UNIDENTIFIED,21.67,-22.417,,
,IC 1394,15.0,Gx,GALAXY,21.67,14.633,,
,IC 1395,15.0,Gx,GALAXY,21.695,4.117,,
,IC 1396,3.5,C+N,OPEN STAR CLUSTER,21.652,57.5,,
,IC 1397,,U,UNIDENTIFIED,21.733,-4.883,,
,IC 1398,15.0,Gx,GALAXY,21.765,9.467,,
,IC 1399,16.0,Gx,GALAXY,21.768,4.4,,
,IC 14,,U,UNIDENTIFIED,0.377,10.483,,
,IC 140,,SS,STAR,1.562,30.483,,
,IC 1400,,U,UNIDENTIFIED,21.737,52.95,,
,IC 1401,,Gx,GALAXY,21.782,1.7,,
,IC 1402,,U,UNIDENTIFIED,21.747,53.267,,
,IC 1403,,U,UNIDENTIFIED,21.842,-2.717,,
