messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
M57,NGC 6720,9.0,PN,Ring nebula.  Looks like smoke ring.,18.883,33.017,b'2003A&A...408.1029K',
M66,NGC 3627,9.0,SG,Leo's triplet,11.333,12.983,b'2006AJ....131.1163S',
M43,NGC 1982,9.0,DN,,5.583,-5.27,b'',
M96,NGC 3368,9.2,SG,,10.767,11.817,b'2006AJ....131.1163S',
M85,NGC 4382,9.2,EG,,12.417,18.183,b'2006AJ....131.1163S',
M86,NGC 4406,9.2,EG,,12.433,12.933,b'2006AJ....131.1163S',
M74,NGC 628,9.2,S,,1.6,15.783,b'2006AJ....131.1163S',
M84,NGC 4374,9.3,EG,,12.417,12.883,b'2009A&A...493..317L',
M65,NGC 3623,9.3,SG,Leo's triplet,11.3,13.083,b'2006AJ....131.1163S',
M105,NGC 3379,9.3,EG,,10.783,12.567,b'2006AJ....131.1163S',
M72,NGC 6981,9.4,GC,,20.883,-12.533,b'2010AJ....140.1830G',
M100,NGC 4321,9.4,SG,,12.367,15.817,b'2006AJ....131.1163S',
M90,NGC 4569,9.5,SG,,12.6,13.15,b'2006AJ....131.1163S',
M88,NGC 4501,9.5,SG,,12.517,14.417,b'2006AJ....131.1163S',
M61,NGC 4303,9.7,SG,,12.35,4.467,b'2006AJ....131.1163S',
M95,NGC 3351,9.7,SG,,10.717,11.7,b'2006AJ....131.1163S',
M59,NGC 4621,9.8,EG,,12.7,11.633,b'2006AJ....131.1163S',
M58,NGC 4579,9.8,SG,,12.617,11.817,b'2006AJ....131.1163S',
M89,NGC 4552,9.8,EG,,12.583,12.55,b'2003MNRAS.341....1M',
M109,NGC 3992,9.8,SG,,11.95,53.367,b'2006AJ....131.1163S',
M99,NGC 4254,9.8,SG,Pin Wheel Galaxy,12.3,14.4,b'2006AJ....131.1163S',
M108,NGC 3556,10.0,SG,,11.183,55.667,b'2006AJ....131.1163S',
M73,NGC 6994,10.0,ast,"Very difficult, small grouping of stars",20.983,-12.633,b'',
M98,NGC 4192,10.1,SG,,12.217,14.9,b'2006AJ....131.1163S',
M91,NGC 4548,10.2,SG,,12.583,14.483,b'2006AJ....131.1163S',
M97,NGC 3587,11.2,PN,Owl nebula,11.233,55.017,b'2011yCat.2306....0A',
M76,NGC 650,11.5,PN,Cork nebula,1.7,51.567,b'2014ApJS..213....3M',
